nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
2,1,0,0,0,0,0,-0.2779,-0.0211,True
3,1,0,0,0,0,0,-0.8141,0.3737,True
2,1,0,0,0,0,0,-0.9142,0.2634,True
0,0,0,0,0,0,0,-0.0767,0.3358,False
4,1,0,0,0,0,0,-0.9142,0.2634,True
6,1,0,0,0,0,0,-0.6398,-0.1385,True
2,1,0,0,0,0,0,-1.0254,0.3623,True
1,1,0,0,0,0,0,-1.1506,0.4876,True
7,1,0,0,0,0,0,-0.3621,-0.245,True
1,1,0,0,0,0,0,-1.0254,0.5976,True
3,1,0,0,0,0,0,-0.5628,0.3105,True
0,1,0,0,0,0,0,-0.3033,0.1646,False
2,1,0,0,0,0,0,-0.9142,0.4739,True
2,1,0,0,0,0,0,-0.6044,0.271,True
1,1,0,0,0,0,0,-0.7231,0.29100000000000004,True
8,1,0,0,0,0,0,0.674,-0.4596,True
1,1,0,0,0,0,0,-0.7231,0.37799999999999995,True
0,1,0,0,0,0,0,-0.6398,0.3015,False
4,1,0,0,0,0,0,0.5108,-0.4318,True
1,1,0,0,0,0,0,-1.0254,-0.5777,True
1,1,0,0,0,0,0,-0.7231,0.2041,True
1,1,0,0,0,0,0,-1.0254,0.3623,True
0,1,0,0,0,0,0,-0.2779,0.146,False
1,1,0,0,0,0,0,-1.0254,0.3623,True
0,1,0,0,0,0,0,-0.7231,0.1606,False
1,1,0,0,0,0,0,-0.8141,0.2785,True
1,1,0,0,0,0,0,-0.8141,0.3737,True
4,1,0,0,0,1,0,0.1487,-0.3602,True
3,1,0,0,0,0,0,-0.4608,0.2912,True
2,1,0,0,0,0,0,-0.9142,0.4739,True
4,0,0,0,0,0,0,0.6073,-0.0084,True
7,0,0,0,0,0,1,0.1487,-0.298,True
3,0,0,1,0,0,0,-0.3621,0.3005,True
1,1,0,0,0,0,0,-0.052000000000000005,0.0001,True
1,0,0,0,1,0,0,-0.3033,0.3737,True
3,0,0,1,0,0,0,-0.3621,0.3005,True
4,0,0,0,1,0,0,0.3755,0.1441,True
1,0,0,0,0,0,0,-0.9142,0.6318,True
6,0,0,0,0,0,0,1.4347,-0.4068,True
2,0,0,0,0,0,0,-0.396,0.0179,True
6,0,0,0,0,0,0,0.9205,-0.418,True
10,1,0,0,0,0,0,1.4347,-0.3265,True
0,0,0,0,0,0,0,-0.9142,0.5265,False
4,1,0,0,0,0,0,-0.052000000000000005,-0.3215,True
0,0,0,0,0,0,0,-0.2477,0.2953,False
3,0,0,0,0,0,0,0.0332,-0.1792,True
1,0,0,0,0,0,0,-0.1723,0.1491,True
1,0,0,0,0,0,0,0.5108,0.5094,True
3,0,0,0,0,0,0,-0.052000000000000005,0.0845,True
7,1,0,0,0,0,0,0.5108,-0.402,True
4,0,0,0,1,0,0,0.3755,-0.3765,True
3,1,0,0,1,0,0,0.9205,-0.461,True
3,1,0,0,1,0,0,1.9993,-0.5379999999999999,True
6,1,0,0,1,0,0,0.40399999999999997,-0.3822,True
3,0,0,0,0,0,0,0.584,-0.2497,True
2,0,0,0,0,0,0,-0.3621,-0.3207,True
7,0,0,0,0,0,0,-0.052000000000000005,-0.4555,True
5,0,0,0,0,0,1,0.5108,-0.38299999999999995,True
3,1,0,0,0,0,0,-0.0767,-0.3845,True
1,1,0,0,0,0,0,-1.0254,0.5976,True
3,1,0,0,0,0,0,-0.6398,-0.1385,True
3,0,0,0,1,0,0,-0.396,0.1997,True
11,0,0,1,0,0,0,0.2189,-0.0865,True
2,1,0,0,1,0,0,-0.9142,0.4739,True
4,1,0,0,0,0,1,0.3755,-0.1157,True
5,0,0,0,1,0,1,0.3755,-0.3548,True
0,1,1,0,0,0,0,0.0332,0.6019,False
3,1,1,0,0,0,0,0.3295,0.4208,True
8,0,0,0,0,0,1,0.6073,-0.4009,True
8,0,0,0,0,0,0,0.3295,-0.3989,True
5,0,0,0,0,0,0,-0.4608,-0.1837,True
0,0,0,0,0,1,0,-0.0767,0.0806,False
4,1,0,0,0,1,0,0.1487,-0.3602,True
9,0,0,0,0,0,1,0.5108,-0.38299999999999995,True
5,0,0,0,0,0,0,0.5108,-0.1984,True
3,0,0,0,1,0,0,-0.5628,-0.0229,True
11,0,0,0,0,0,0,0.9205,-0.4644,True
6,0,0,0,0,0,1,1.0758,-0.467,True
5,0,0,0,0,0,0,0.0332,-0.2536,True
6,0,0,0,0,0,0,1.4347,-0.4979,True
4,1,0,0,0,0,1,-0.4608,0.3521,True
2,1,0,0,0,0,0,-1.1506,0.7543,True
7,1,0,0,0,0,0,-0.3033,-0.264,True
4,1,0,0,0,0,0,-0.2779,-0.0211,True
2,1,0,0,0,0,0,-0.8141,0.3737,True
2,0,0,0,0,0,0,0.1117,0.0638,True
4,0,0,0,0,0,0,0.5108,-0.1473,True
3,1,0,0,0,0,0,-0.3621,-0.245,True
0,0,0,0,0,1,0,2.8247,0.1307,False
4,0,0,0,0,0,0,0.5108,-0.0207,True
3,0,0,0,0,0,0,0.3755,0.06,True
5,0,0,0,0,0,0,1.9993,-0.252,True
4,0,0,0,0,0,0,0.40399999999999997,-0.0425,True
6,0,0,0,0,0,0,-0.3033,-0.264,True
6,0,0,0,0,0,0,-0.3033,-0.264,True
8,0,0,0,0,0,0,-0.3033,-0.264,True
2,0,0,0,0,0,0,-0.7231,0.1162,True
2,0,0,0,0,0,0,-0.9142,0.2623,True
7,0,0,0,0,0,0,0.5108,-0.3503,True
7,0,0,0,0,0,0,1.1181,-0.4124,True
4,0,0,0,0,0,0,0.1844,-0.2626,True
5,0,0,0,0,0,0,0.3157,-0.2091,True
5,1,0,0,0,0,0,-0.9142,-0.1629,True
7,0,0,0,0,0,1,1.9993,-0.5337,True
3,1,0,0,0,0,0,-0.9142,0.0528,True
2,1,0,0,0,0,0,-0.9738,0.0916,True
6,1,0,1,0,0,0,0.8863,-0.4812,True
6,1,0,0,0,0,0,-0.6398,-0.0985,True
5,1,0,0,0,0,0,-0.7231,-0.0568,True
4,1,0,0,0,0,0,-1.0254,0.127,True
4,1,0,0,0,0,0,-0.7231,-0.0568,True
4,1,0,0,0,0,0,-1.0254,0.127,True
3,1,0,0,0,0,0,-0.7231,-0.0568,True
3,1,0,0,0,0,0,-0.8141,-0.0072,True
4,1,0,0,0,0,0,-0.1723,-0.2774,True
4,1,0,0,0,0,0,-0.9142,0.0528,True
4,1,0,0,1,0,0,-0.3621,-0.2147,True
5,0,0,0,0,0,0,0.2189,-0.0772,True
0,1,0,0,0,0,1,-0.4608,0.3721,False
7,1,0,0,0,0,0,1.4347,-0.4975,True
5,0,0,0,0,0,0,0.1487,-0.3253,True
0,0,0,0,0,0,0,0.6073,0.3867,False
0,1,0,0,1,0,0,1.4347,0.2213,False
0,1,0,0,1,0,0,1.4347,0.2213,False
1,1,0,0,0,0,0,0.9205,0.2542,True
1,1,0,0,0,0,0,0.9205,0.2542,True
2,1,0,0,0,0,0,0.9205,0.2542,True
1,0,0,0,0,0,0,-0.2237,0.2133,True
2,0,0,0,0,0,0,0.5108,0.055,True
3,0,0,0,0,0,0,-0.8141,-0.1977,True
7,0,0,0,0,0,0,-0.1723,-0.3777,True
4,0,0,0,0,0,0,-0.1723,-0.3777,True
11,0,0,0,0,0,0,1.4144,-0.5368,True
3,1,0,1,0,0,0,-0.3621,0.3253,True
3,1,0,1,0,0,0,-0.3033,0.2737,True
2,1,0,1,0,0,0,-0.3621,0.3253,True
0,0,0,0,1,0,1,0.6073,0.3637,False
0,0,0,0,0,0,0,-0.8141,0.369,False
6,0,0,0,1,0,0,0.3755,-0.2594,True
5,0,0,0,1,0,0,1.9993,-0.5149,True
5,0,0,0,0,0,0,1.9993,-0.5435,True
4,1,0,1,0,0,0,-0.3621,-0.2892,True
1,1,0,0,0,0,0,-0.9738,0.5385,True
5,1,0,0,0,0,0,-0.4574,-0.2117,True
6,1,0,0,0,0,0,0.4852,-0.4351,True
5,1,0,0,0,0,0,-0.5628,-0.171,True
6,1,0,0,0,0,0,-0.6044,-0.1537,True
6,1,0,0,0,0,0,-0.3621,-0.245,True
5,1,0,0,0,0,0,0.5108,-0.4387,True
7,0,0,1,0,0,0,1.0758,-0.4948,True
0,0,0,0,0,0,1,0.5108,0.5046,False
2,0,0,0,0,0,0,0.5108,0.2056,True
2,1,0,0,0,0,0,-0.9142,0.7659,True
0,1,0,0,0,0,0,-1.1506,1.1241,False
1,1,0,0,0,0,0,-0.5628,0.6641,True
1,1,0,0,0,0,0,-0.7231,0.7931,True
1,1,0,0,0,0,0,-1.0254,1.0416,True
1,1,0,0,0,0,0,-0.9142,0.9764,True
0,1,0,0,0,0,0,-0.8141,0.8284,False
1,1,0,0,0,0,0,-0.7231,0.5322,True
