"","BookVal","MinorBlem","MajorBlem","PowerSeller","IDSeller","Sealed","NegFeedback","ReservePriceFrac","NBidders","FinalPrice"
"80",11.5,0,0,1,0,0,0,0.520869565217391,4,7.25
"81",8.5,0,0,1,0,0,0,0.704705882352941,1,5.99
"82",7.95,0,0,1,0,0,0,0.753459119496855,2,6.29
"83",9.5,0,0,1,0,0,0,0.630526315789474,3,8.8
"84",8.95,0,0,1,0,0,0,0.66927374301676,2,8.25
"85",399.5,0,0,1,0,0,0,0.741176470588235,0,NA
"86",24.5,0,0,1,0,0,0,1.17959183673469,0,NA
"87",12.5,0,0,1,0,0,0,0.4792,3,13.49
"88",21.95,0,1,1,0,0,0,0.226879271070615,5,7.35
"89",39.5,0,0,0,0,0,0,0.145913181788058,4,37.7735706806283
"90",11.5,0,0,1,0,0,0,0.520869565217391,3,10.55
"91",8.5,1,0,1,0,0,0,0.704705882352941,1,5.99
"92",9.5,0,0,1,0,0,0,0.630526315789474,2,8.25
"93",39.5,0,0,0,0,0,0,0.145913181788058,6,40.7735706806283
"94",17.5,0,0,1,0,0,0,0.313714285714286,5,20
"95",7.95,0,0,1,0,0,0,1.25660377358491,2,22
"96",14.95,0,0,1,0,0,0,0.929765886287625,4,18.91
"97",7.5,0,0,1,0,0,0,1.332,2,13.98
"98",8.5,0,0,1,0,0,0,1.17529411764706,2,22
"99",39.5,0,0,1,0,0,0,1.11139240506329,1,43.9
"100",39.5,0,0,1,0,0,0,1.11240506329114,0,NA
"101",22.5,0,0,1,0,0,0,0.664,2,17.1
"102",34.5,0,0,1,0,0,0,1.04057971014493,0,NA
"103",18.5,1,0,1,0,0,0,0.872972972972973,1,16.15
"104",69.5,0,0,1,0,0,0,0.114244604316547,6,49
"105",99.5,0,0,0,0,0,1,0.0727638190954774,9,69.34
"106",35.5,0,1,0,0,0,0,0.420845070422535,2,16.21
"107",16.5,0,0,0,0,1,0,0.996969696969697,1,16.45
"108",16.5,0,0,0,0,1,0,0.996969696969697,4,23.23
"109",59.5,0,0,0,0,0,0,0.201680672268908,8,43.5
"110",17.5,0,0,0,0,1,0,0.94,1,16.45
"111",49.95,0,0,0,0,0,0,0.259259259259259,6,36
"112",39.5,0,0,0,0,0,0,0.214936708860759,6,26.05
"113",24.5,0,0,0,0,0,0,1.00204081632653,0,NA
"114",16.5,0,0,0,0,0,0,0.256969696969697,3,13.75
"115",16.5,0,0,0,0,0,0,0.256969696969697,4,12.52
"116",15,0,0,0,0,0,0,0.282666666666667,4,11.25
"117",29.5,0,0,1,0,1,0,0.505084745762712,5,36.95
"118",57.5,0,0,1,0,1,0,0.259130434782609,6,51.85
"119",29.5,0,0,1,0,1,0,0.505084745762712,4,34.95
"120",22.5,0,0,1,0,1,0,0.662222222222222,5,36.04
"121",16.5,0,0,1,0,1,0,0.903030303030303,4,25
"122",16.5,0,0,1,0,1,0,0.903030303030303,5,23.45
"123",17.5,0,0,1,0,1,0,0.851428571428571,5,21.44
"124",16.5,0,0,1,0,1,0,0.903030303030303,3,18.44
"125",16.5,0,0,0,0,1,0,0.844848484848485,2,23.94
"126",24.5,0,0,0,0,0,0,0.346530612244898,6,24
"127",10.5,0,0,0,0,0,0,0.38,5,9.5
"128",72.5,0,0,0,0,0,0,0.0550344827586207,4,57.32
"129",16.5,0,0,0,0,0,0,0.241818181818182,4,17.51
"130",8.5,0,0,0,0,0,0,0.468235294117647,4,7.25
"131",34.5,0,1,0,0,0,0,0.40231884057971,6,27.61
"132",22.5,0,0,1,0,0,0,0.444444444444444,4,19.65
"133",59.5,0,0,0,0,0,0,0.134117647058824,7,40.97
"134",35.5,0,0,0,0,0,0,0.422535211267606,6,33
"135",32.95,0,0,1,0,0,0,0.42185128983308,4,16.45
"136",39.5,0,0,0,0,0,1,0.194683544303797,6,36.7
"137",18.5,0,0,0,0,0,0,1.18378378378378,1,21.8999999999999
"138",24.5,0,0,1,0,0,0,1.17959183673469,1,28.8999999999999
"139",39.5,0,0,0,0,0,1,0.194683544303797,7,34.7
"140",16.5,0,0,0,0,0,1,1.33212121212121,0,NA
"141",24.5,0,0,1,0,0,0,0.815918367346939,0,NA
